t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
156.62	3346733	36859	3346733	13110738944	807.2	20	0
157.62	3346733	36859	3346733	13112721408	799.7	20	0
158.63	3346733	36859	3346733	13115817984	799.6	20	0
159.63	3346733	36859	3346733	13118464000	807.5	20	0
160.63	3346733	36859	3346733	13120589824	799.6	20	0
161.64	3346733	36859	3346733	13123043328	807.6	20	0
162.64	3346733	36859	3346733	13125439488	799.6	20	0
163.65	3346733	36859	3346733	13129740288	799.5	20	0
164.65	3346733	36859	3346733	13134581760	807.7	20	0
165.65	3346733	36859	3346733	13138608128	799.6	20	0
166.66	3346733	36859	3346733	13142765568	807.7	20	0
167.66	3346733	36859	3346733	13146697728	799.7	20	0
168.67	3346733	36859	3346733	13151555584	799.6	20	0
169.67	3346733	36859	3346733	13155954688	807.5	20	0
170.67	3346733	36859	3346733	13159960576	799.6	20	0
171.68	3346733	36859	3346733	13164085248	807.8	20	0
172.68	3346733	36859	3346733	13168332800	799.7	20	0
173.69	3346733	36859	3346733	13172158464	799.6	20	0
174.69	3346733	36859	3346733	13176467456	807.8	20	0
175.69	3346733	36859	3346733	13179445248	799.7	20	0
176.70	3346733	36859	3346733	13184040960	808.1	20	0
177.70	3346733	36859	3346733	13186809856	799.8	20	0
178.71	3346733	36859	3346733	13191221248	807.7	20	0
179.71	3346733	36859	3346733	13195939840	799.2	20	0
180.72	3346733	37387	3346733	13198442496	810.1	20	0
181.72	3346733	37387	3346733	13199540224	806.4	20	0
182.72	3346733	37387	3346733	13202042880	799.7	20	0
183.73	3346733	37387	3346733	13202657280	807.5	20	0
184.73	3346733	37387	3346733	13204733952	799.5	20	0
185.74	3346733	37387	3346733	13205966848	799.6	20	0
186.74	3346733	37387	3346733	13207212032	807.9	20	0
187.74	3346733	37818	3346733	13210398720	805.8	20	0
188.75	3346733	43764	3346733	13216432128	912.5	20	0
189.75	3346733	46782	3346733	13219508224	853.0	20	0
190.76	3346733	46782	3346733	13219196928	799.6	20	0
191.76	3346733	46782	3346733	13218803712	807.6	20	0
192.76	3346733	46782	3346733	13219811328	799.5	20	0
193.77	3346733	46782	3346733	13219745792	807.7	20	0
194.77	3346733	46782	3346733	13219991552	799.5	20	0
195.78	3346733	46782	3346733	13219815424	807.6	20	0
196.78	3346733	46782	3346733	13219155968	799.6	20	0
197.78	3346733	46782	3346733	13219401728	799.4	20	0
198.79	3346733	46782	3346733	13219942400	807.3	20	0
199.79	3346733	46782	3346733	13219708928	799.5	20	0
200.80	3346733	46782	3346733	13219667968	807.6	20	0
201.80	3346733	46782	3346733	13219282944	799.5	20	0
202.80	3346733	46782	3346733	13219262464	799.6	20	0
203.81	3346733	46782	3346733	13219393536	807.6	20	0
204.81	3346733	49986	3346733	13222682624	855.1	20	0
205.82	3346733	51421	3346733	13223997440	826.0	20	0
206.82	3346733	51421	3346733	13224534016	807.4	20	0
207.82	3346733	51421	3346733	13224177664	799.6	20	0
208.83	3346733	51421	3346733	13224607744	807.9	20	0
209.83	3346733	51421	3346733	13224288256	800.2	20	0
210.84	3346733	51421	3346733	13224423424	799.0	20	0
211.84	3346733	51421	3346733	13223788544	807.6	20	0
212.84	3346733	51421	3346733	13223710720	799.7	20	0
213.85	3346733	51421	3346733	13223788544	807.7	20	0
214.85	3346733	51421	3346733	13223575552	799.6	20	0
215.85	3346733	51421	3346733	13223981056	799.7	20	0
216.86	3346733	51421	3346733	13223899136	807.8	20	0
217.86	3346733	51421	3346733	13224034304	799.7	20	0
218.87	3346733	51421	3346733	13224333312	807.7	20	0
219.87	3346733	51421	3346733	13226467328	799.6	20	0
220.87	3346733	51421	3346733	13229395968	800.9	20	0
221.88	3346733	51421	3346733	13231906816	806.6	20	0
222.88	3346733	51421	3346733	13234221056	799.7	20	0
223.89	3346733	51421	3346733	13237272576	807.7	20	0
224.89	3346733	51421	3346733	13238820864	799.5	20	0
225.89	3346733	51421	3346733	13241987072	799.8	20	0
226.90	3346733	51421	3346733	13244809216	807.6	20	0
227.90	3346733	51421	3346733	13246935040	799.6	20	0
228.91	3346733	51421	3346733	13250859008	807.7	20	0
229.91	3346733	51421	3346733	13252370432	799.7	20	0
230.91	3346733	51421	3346733	13255139328	799.8	20	0
231.92	3346733	51421	3346733	13257220096	807.6	20	0
232.92	3346733	51421	3346733	13259935744	799.4	20	0
233.93	3346733	51421	3346733	13262675968	807.7	20	0
234.93	3346733	51421	3346733	13265735680	799.8	20	0
235.93	3346733	51421	3346733	13268004864	799.7	20	0
236.94	3346733	52114	3346733	13270908928	819.6	20	0
237.94	3346733	58075	3346733	13280239616	904.5	20	0
238.95	3346733	60686	3346733	13285163008	854.4	20	0
239.95	3346733	60686	3346733	13287845888	799.6	20	0
240.95	3346733	60686	3346733	13289975808	799.9	20	0
241.96	3346733	60686	3346733	13292294144	807.3	20	0
242.96	3346733	60686	3346733	13294886912	799.6	20	0
243.97	3346733	60686	3346733	13297901568	799.7	20	0
244.97	3346733	60686	3346733	13301035008	807.6	20	0
245.97	3346733	60686	3346733	13303767040	799.8	20	0
246.98	3346733	60686	3346733	13306499072	807.7	20	0
247.98	3346733	60686	3346733	13309091840	799.7	20	0
248.99	3346733	60686	3346733	13311668224	799.7	20	0
249.99	3346733	60686	3346733	13314334720	807.7	20	0
250.99	3346733	60686	3346733	13316751360	799.6	20	0
252.00	3346733	60686	3346733	13319196672	807.6	20	0
253.00	3346733	60686	3346733	13321887744	799.8	20	0
254.01	3346733	64482	3346733	13328850944	866.9	20	0
255.01	3346733	65258	3346733	13332672512	822.5	20	0
256.01	3346733	65258	3346733	13335105536	799.6	20	0
257.02	3346733	65258	3346733	13336993792	807.7	20	0
258.02	3346733	65258	3346733	13441454080	801.1	20	0
259.02	3346733	65258	3346733	13342289920	798.3	20	0
260.03	3346733	65258	3346733	13344964608	807.6	20	0
261.03	3346733	65258	3346733	13347704832	799.6	20	0
262.04	3346733	65258	3346733	13350600704	807.6	20	0
263.04	3346733	65258	3346733	13353422848	799.8	20	0
264.04	3346733	65258	3346733	13355679744	799.6	20	0
265.05	3346733	65258	3346733	13358718976	807.7	20	0
266.05	3346733	65258	3346733	13361057792	799.5	20	0
267.06	3346733	65258	3346733	13363957760	807.6	20	0
268.06	3346733	65258	3346733	13365837824	799.7	20	0
269.06	3346733	65258	3346733	13368090624	799.8	20	0
270.07	3346733	65258	3346733	13370548224	807.5	20	0
271.07	3346733	65258	3346733	13373968384	799.7	20	0
272.08	3346733	65258	3346733	13375975424	799.7	20	0
273.08	3346733	65258	3346733	13378924544	807.7	20	0
274.08	3346733	65258	3346733	13381955584	799.8	20	0
275.09	3346733	65258	3346733	13383950336	807.7	20	0
276.09	3346733	65258	3346733	13387333632	799.8	20	0
277.10	3346733	65258	3346733	13389758464	799.7	20	0
278.10	3346733	65258	3346733	13393195008	807.7	20	0
279.10	3346733	65258	3346733	13395677184	799.7	20	0
280.11	3346733	65258	3346733	13399584768	807.9	20	0
281.11	3346733	65258	3346733	13401456640	799.7	20	0
282.11	3346733	65258	3346733	13404225536	799.5	20	0
283.12	3346733	65258	3346733	13407191040	807.9	20	0
284.12	3346733	65258	3346733	13409710080	799.7	20	0
285.13	3346733	65258	3346733	13412761600	807.5	20	0
286.13	3346733	65258	3346733	13414813696	799.7	20	0
287.13	3346733	70045	3346733	13423697920	882.0	20	0
288.14	3346733	74092	3346733	13429633024	879.8	20	0
289.14	3346733	74092	3346733	13432676352	799.7	20	0
290.15	3346733	74092	3346733	13435170816	807.6	20	0
291.15	3346733	74092	3346733	13437382656	799.6	20	0
292.15	3346733	74092	3346733	13440753664	799.8	20	0
293.16	3346733	74092	3346733	13443280896	807.6	20	0
294.16	3346733	74092	3346733	13446324224	799.6	20	0
295.17	3346733	74092	3346733	13449322496	807.7	20	0
296.17	3346733	74092	3346733	13451698176	799.8	20	0
297.17	3346733	74092	3346733	13454348288	799.6	20	0
298.18	3346733	74092	3346733	13457330176	807.5	20	0
299.18	3346733	74092	3346733	13460119552	799.7	20	0
300.19	3346733	74092	3346733	13462577152	807.6	20	0
301.19	3346733	74092	3346733	13465088000	799.8	20	0
302.19	3346733	74092	3346733	13467828224	799.9	20	0
303.20	3346733	74092	3346733	13470920704	807.4	20	0
304.20	3346733	74092	3346733	13475393536	799.8	20	0
305.21	3346733	74092	3346733	13479243776	799.8	20	0
306.21	3346733	74092	3346733	13484670976	807.5	20	0
307.21	3346733	74092	3346733	13487951872	799.9	20	0
308.22	3346733	74092	3346733	13492576256	807.6	20	0
309.22	3346733	74092	3346733	13496930304	800.2	20	0
310.23	3346733	74092	3346733	13500096512	799.2	20	0
311.23	3346733	74092	3346733	13504733184	807.6	20	0
312.23	3346733	74092	3346733	13508497408	799.6	20	0
313.24	3346733	74092	3346733	13512720384	807.7	20	0
314.24	3346733	74092	3346733	13517512704	799.6	20	0
315.24	3346733	74092	3346733	13521465344	799.7	20	0
316.25	3346733	74092	3346733	13525176320	807.6	20	0
317.25	3346733	74092	3346733	13529518080	799.5	20	0
318.26	3346733	74092	3346733	13533028352	807.4	20	0
319.26	3346733	74092	3346733	13537296384	799.7	20	0
320.26	3346733	74092	3346733	13540835328	799.4	20	0
321.27	3346733	74092	3346733	13545316352	807.5	20	0
322.27	3346733	74092	3346733	13549502464	800.0	20	0
323.28	3346733	74092	3346733	13553491968	807.4	20	0
324.28	3346733	74092	3346733	13557395456	799.5	20	0
325.28	3346733	74092	3346733	13561114624	799.3	20	0
326.29	3346733	74092	3346733	13565202432	807.5	20	0
327.29	3346733	74092	3346733	13568872448	799.7	20	0
328.30	3346733	74092	3346733	13573734400	807.6	20	0
329.30	3346733	74092	3346733	13577543680	799.6	20	0
330.30	3346733	74092	3346733	13581635584	799.4	20	0
