t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
192.76	0	51519	0	9445101568	618.5	26	4
193.77	0	51718	0	9445560320	624.3	26	4
194.77	0	51965	0	9445855232	641.5	26	4
195.78	0	52295	0	9446084608	662.8	26	4
196.78	0	52659	0	9446588416	625.5	26	4
197.78	0	52659	0	9446211584	672.6	26	4
198.79	0	53121	0	9446813696	628.8	26	4
199.79	0	53236	0	9447153664	618.1	26	4
200.80	0	53814	0	9447526400	617.6	26	4
201.80	0	53814	0	9447796736	647.3	26	4
202.80	0	54277	0	9448300544	709.2	26	4
203.81	0	54393	0	9448038400	621.6	26	4
204.81	0	54972	0	9448964096	618.7	26	4
205.82	0	54972	0	9448308736	611.3	26	4
206.82	0	55435	0	9449029632	653.5	26	4
207.82	0	55550	0	9448882176	701.3	26	4
208.83	0	56127	0	9449934848	632.0	26	4
209.83	0	56127	0	9449435136	624.7	26	4
210.84	0	56589	0	9450508288	637.7	26	4
211.84	0	56705	0	9451130880	672.3	26	4
212.84	0	57299	0	9451028480	691.6	26	4
213.85	0	57299	0	9451204608	614.5	26	4
214.85	0	57777	0	9452097536	615.9	26	4
215.86	0	57827	0	9452363776	618.5	26	4
216.86	0	58470	0	9452904448	674.3	26	4
217.86	0	58470	0	9453002752	670.6	26	4
218.87	0	58949	0	9453404160	674.8	26	4
219.87	0	58949	0	9453187072	596.4	26	4
220.88	0	59625	0	9453801472	684.1	26	4
221.88	0	59625	0	9454010368	646.5	26	4
222.88	0	60089	0	9454628864	651.7	26	4
223.89	0	60089	0	9454571520	637.8	26	4
224.89	0	60768	0	9455374336	625.5	26	4
225.90	0	60768	0	9455419392	666.2	26	4
226.90	0	61230	0	9455833088	718.8	26	4
227.90	0	61280	0	9456070656	644.3	26	4
228.91	0	61923	0	9456115712	642.6	26	4
229.91	0	61923	0	9455706112	646.6	26	4
230.92	0	62385	0	9457049600	675.3	26	4
231.92	0	62385	0	9457430528	651.4	26	4
232.92	0	63079	0	9458503680	650.7	26	4
233.93	0	63079	0	9457725440	618.7	26	4
234.93	0	63524	0	9458532352	664.6	26	4
235.94	0	63524	0	9458454528	638.8	26	4
236.94	0	64217	0	9458696192	677.4	26	4
237.94	0	64217	0	9458663424	630.1	26	4
238.95	0	64662	0	9459265536	636.5	26	4
239.95	0	64662	0	9458794496	642.5	26	4
240.96	0	65356	0	9460084736	696.8	26	4
241.96	0	65356	0	9459380224	692.9	26	4
242.96	0	65356	0	9460146176	603.8	26	4
243.97	0	65820	0	9460563968	614.8	26	4
244.97	0	65935	0	9460940800	638.4	26	4
245.97	0	66531	0	9461071872	648.0	26	4
246.98	0	66531	0	9460932608	662.1	26	4
247.98	0	66993	0	9461223424	630.3	26	4
248.99	0	67108	0	9461673984	682.5	26	4
249.99	0	67702	0	9461501952	647.9	26	4
250.99	0	67702	0	9461788672	618.9	26	4
252.00	0	68164	0	9463246848	630.3	26	4
253.00	0	68164	0	9462808576	613.9	26	4
254.01	0	68857	0	9464094720	620.3	26	4
255.01	0	68857	0	9463558144	667.7	26	4
256.01	0	69335	0	9464414208	678.8	26	4
257.02	0	69335	0	9463906304	617.0	26	4
258.02	0	70027	0	9464844288	632.2	26	4
259.03	0	70027	0	9464889344	687.1	26	4
260.03	0	70489	0	9465671680	668.4	26	4
261.03	0	70489	0	9465229312	628.9	26	4
262.04	0	71184	0	9466142720	636.5	26	4
263.04	0	71184	0	9465835520	615.9	26	4
264.05	0	71664	0	9466986496	623.2	26	4
265.05	0	71664	0	9466056704	664.3	26	4
266.05	0	72358	0	9467244544	693.3	26	4
267.06	0	72358	0	9466707968	615.1	26	4
268.06	0	72837	0	9467949056	633.9	26	4
269.07	0	72837	0	9467363328	590.2	26	4
270.07	0	73547	0	9468313600	636.4	26	4
271.07	0	73547	0	9468116992	689.2	26	4
272.08	0	74026	0	9468788736	640.2	26	4
273.08	0	74026	0	9469149184	640.1	26	4
274.09	0	74735	0	9469796352	630.8	26	4
275.09	0	74735	0	9469714432	594.0	26	4
276.09	0	74850	0	9469980672	616.6	26	4
277.10	0	75213	0	9470431232	648.3	26	4
278.10	0	75362	0	9470672896	669.7	26	4
279.11	0	75924	0	9470652416	684.8	26	4
280.11	0	75924	0	9470189568	619.7	26	4
281.11	0	76386	0	9470664704	599.8	26	4
282.12	0	76502	0	9471897600	658.4	26	4
283.12	0	77082	0	9471262720	674.3	26	4
284.13	0	77082	0	9471655936	657.6	26	4
285.13	0	77545	0	9472688128	650.3	26	4
286.13	0	77545	0	9472053248	633.4	26	4
287.14	0	78238	0	9472868352	640.9	26	4
288.14	0	78238	0	9472733184	617.8	26	4
289.15	0	78699	0	9473171456	642.9	26	4
290.15	0	78699	0	9473077248	614.6	26	4
291.15	0	79393	0	9474359296	647.9	26	4
292.16	0	79393	0	9473892352	634.0	26	4
293.16	0	79855	0	9474842624	670.0	26	4
294.17	0	79855	0	9474285568	627.3	26	4
295.17	0	80548	0	9475043328	639.1	26	4
296.17	0	80548	0	9475612672	623.8	26	4
297.18	0	81026	0	9475899392	679.9	26	4
298.18	0	81026	0	9475723264	648.3	26	4
299.19	0	81704	0	9476341760	656.1	26	4
300.19	0	81704	0	9476227072	753.7	26	4
301.19	0	82200	0	9477038080	676.0	26	4
302.20	0	82200	0	9477271552	654.4	26	4
303.20	0	82878	0	9477550080	672.3	26	4
304.21	0	82878	0	9478127616	616.3	26	4
305.21	0	83357	0	9479114752	673.4	26	4
306.21	0	83357	0	9478742016	657.0	26	4
